id,name,description,genre,tag,spec_min,spec_rec,steam_link,eval
0,PUBG BATTLEGROUNDS,"LAND, LOOT, SURVIVE!PUBG: BATTLEGROUNDS를 무료로 플레이 하세요.다양한 전장에서 전략적 위치를 선점하고 무기와 장비를 확보해 최후의 1인이 되기 위한 생존의 사투를 펼칩니다.친구들과 함께 팀을 만들어 배틀로얄 건플레이 장르의 선구자인 PUBG: BATTLEGROUNDS만이 선사하는 긴장감 넘치는 경험을 위해 도전하세요.이 콘텐츠 다운로드를 통해 테스트 서버 접속이 가능합니다. 원활한 게임 플레이를 위해 별도로 다운로드하여 플레이 하시기 바랍니다.게임 내 구매는 선택적으로 가능합니다.","액션,어드벤처,대규모멀티플레이어","생존,슈팅,배틀로얄,멀티플레이어,1인칭슈팅,PvP,3인칭슈팅,온라인협동,전술,협동,1인칭,전략,앞서해보기,경쟁,3인칭,팀기반,고난이도,시뮬레이션,잠입","운영체제: 64-bit Windows 10
 프로세서: Intel Core i5-4430 / AMD FX-6300
 메모리: 8 GB RAM
 그래픽: NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 40 GB 사용 가능 공간","운영체제: 64-bit Windows 10
 프로세서: Intel Core i5-6600K / AMD Ryzen 5 1600
 메모리: 16 GB RAM
 그래픽: NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 50 GB 사용 가능 공간",https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/,"복합적 (평가 2,197,023 개)"
1,데이브 더 다이버,・신비로운 블루홀을 탐험하세요!수많은 어종과 거대 생물이 가득한 아름다운 바닷속언제 어디서 나타날 지 모르는 해양 생물들이 궁금하지 않으신가요?위협적인 생물의 습격을 피해 싱싱한 식재료를 획득하세요.환상적인 해양 생태계와 신비한 고대 유물. 바닷속은 수수께끼로 가득합니다.직접 잡은 싱싱한 재료로 특별한 초밥을 만들어 판매해 보세요!입소문이 나면 특별한 손님이 깜짝 방문할 수도 있어요.초밥집을 운영해 자금을 모으면 더 깊은 곳을 탐사할 수 있습니다!조심하세요! 이상 현상으로 발생한 거대 블루홀에는 미지의 생명체가 당신을 기다리고 있습니다.언제나 장비를 충분히 강화해두세요.거대 생물에 맞서 자신을 지키는 데 큰 도움이 될 것입니다.,"어드벤처,캐주얼,인디,RPG,시뮬레이션","픽셀그래픽,낚시,릴랙싱,경영,농장시뮬레이션,크래프팅,수중,탐험,2D,앞서해보기,풍부한스토리,로그라이트,농업,유머,싱글플레이어","운영체제: Windows 7 64 bit
 프로세서: Intel Core i3 Dual Core
 메모리: 8 GB RAM
 그래픽: NVIDIA Geforce GTS 450 / AMD Radeon HD 5570
 DirectX: 버전 11
 저장공간: 10 GB 사용 가능 공간
 사운드카드: Windows Compatible Audio Device","운영체제: Windows 10 64bit
 프로세서: Intel Core i5 - i7 Quad Core
 메모리: 16 GB RAM
 그래픽: NVIDIA Geforce GTX 750Ti / AMD Radeon R9 270x
 DirectX: 버전 11
 저장공간: 10 GB 사용 가능 공간
 사운드카드: Windows Compatible Audio Device",https://store.steampowered.com/app/1868140/_/,"압도적으로 긍정적 (평가 35,933 개)"
2,Yu-Gi-Oh! Master Duel,"「유희왕」을 본격 디지털 카드 게임으로!20년 이상의 시간에 걸쳐 지금도 진화하고 있는 전략성 카드 게임의 결정판!사상 최고봉의 듀얼이 당신을 기다린다!이 결투에 당신은 따라올 수 있을까?!ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー【「Yu-Gi-Oh! Master Duel」이란】대 인기 카드 게임 「유희왕OCG」를 온라인으로 즐길 수 있는 디지털 카드 게임호화로운 그래픽, 매력적인 사운드, 경쾌한 템포로 듀얼이 펼쳐진다!전 세계의 듀얼리스트들과 「유희왕」을 본격적으로 플레이 해 보자!◇일단 듀얼로 실전이다!처음 받는 덱으로 일단 듀얼을 시작해보자!물론, 오랜만에 플레이 하는 사람이나 처음 시작하는 사람도 안심하고 플레이 할 수 있게 충실한 튜토리얼 요소도 준비되어 있다.게임을 진행하여 다양한 카드를 모아보자!◇다양한 규칙의 이벤트와 대회 실시!듀얼리스트 라이프를 풍족하게! 누구든 즐길 수 있는 다양한 이벤트와 대회를 준비!10,000종류가 넘게 수록된 카드로, 다양한 덱과 다양한 듀얼을 즐겨보자!당신이 자신 있는 규칙의 대회에서 최고를 노려보자!◇카드 일러스트에 담겨있는 이야기!혼자서도 느긋하게 꼼꼼한 플레이가 가능한 솔로 모드 탑재!카드에 얽힌 다양한 이야기와 세계를 따라가며 게임을 클리어 하면, 듀얼 실력도 착실하게 스텝 업!유희왕의 세계를 보다 깊이 알고 싶은 사람은 물론, 처음 플레이 하는 사람이나 오랜만에 플레이 하는 사람에게도 추천!◇다양한 기능으로 듀얼을 서포트!모바일 앱 「Yu-Gi-Oh! Neuron」과도 연동!전 세계 듀얼리스트들의 수많은 덱을 참조하여 오리지널 덱을 만들자!시험 드로우 기능을 사용하여 듀얼 시작 시의 패를 확인하는 것도 가능! 덱의 정확도를 높이자![유희왕에 대하여]「유희왕」은 1996년도부터 주식회사 슈에이샤의 「주간 소년 점프」에 연재된 타카하시 카즈키 선생 원작의 인기 만화이며, 코나미 디지털 엔터테인먼트에서는 원작 만화를 영상화 한 애니메이션 「유희왕」시리즈를 소재로 한 트레이딩 카드 게임(TCG)과 가정용 게임을 전 세계의 고객 여러분께 제공하고 있습니다.【이런 분들에게 추천!】「Yu-Gi-Oh! OCG」를 즐기시는 분「Yu-Gi-Oh! Duel Links」를 즐기시는 분인기 대전 게임을 즐기시고 싶은 분ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー본 게임은 랜덤 배출되는 게임 내 아이템을 획득하기 위해 사용되는 가상화폐를 게임 내에서 구입할 수 있는 기능을 포함합니다.","시뮬레이션,전략","카드게임,무료플레이,트레이딩카드게임,PvP,멀티플레이어,카드배틀,애니메이션,턴제전술,전술,e스포츠,싱글플레이어,생존공포,판타지,용,PvE,3D,2D,웅장한사운드트랙","운영체제: Windows 10 Home (64bit) latest revision
 프로세서: Intel Core i5-7300U
 메모리: 8 GB RAM
 그래픽: Intel(R) HD Graphics 620
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 16 GB 사용 가능 공간
 사운드카드: On Board
 추가 사항: 1280 x 720 monitor resolution","운영체제: Windows 10 Home (64bit) latest revision
 프로세서: Intel Core i5-9400F
 메모리: 8 GB RAM
 그래픽: NVIDIA GeForce GTX 1650
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 16 GB 사용 가능 공간
 사운드카드: On Board
 추가 사항: 1920 x 1080 monitor resolution",https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/,"대체로 긍정적 (평가 62,193 개)"
3,Grand Theft Auto V,"어느 날 문득, 동네 건달과 은퇴한 은행 강도, 미치광이 사이코패스는 자신들이 어두운 범죄 세계와 미국 정부 기관, 엔터테인먼트 회사의 가장 끔찍하고 무시무시한 현실과 복잡하게 얽혀 있다는 걸 깨닫습니다. 아무도 믿을 수 없는, 서로조차 믿을 수 없는 이 무자비한 도시에서 살아남기 위해 그들은 여러 번의 위험한 습격에 몸을 던져야 합니다.PC용 Grand Theft Auto V는 각종 수상에 빛나는 로스 산토스와 블레인 카운티의 거대한 세상을 최대 4K 이상의 해상도로 둘러볼 수 있는 기회를 플레이어에게 제공하며, 초당 60프레임으로 게임을 실행할 수도 있습니다.게임에서는 PC 사양에 따라 다양하게 설정할 수 있는 세분화된 옵션을 제공합니다. 텍스처 품질, 셰이더, 테셀레이션, 안티 앨리어싱 등 25개 이상의 개별 설정 옵션을 포함하여, 키보드와 마우스 조작을 자유롭게 지정할 수 있는 다양한 옵션도 지원합니다. 또한, 인구 밀도 슬라이더를 사용해 차량과 보행자의 통행량을 조정할 수 있을 뿐 아니라, 듀얼 모니터와 트리플 모니터 지원, 3D 호환성, 플러그 앤 플레이 컨트롤러 지원 등의 기능도 포함되어 있습니다.PC용 Grand Theft Auto V에는 Grand Theft Auto 온라인도 포함되어 있으며, 30명의 플레이어와 2명의 관전자를 지원합니다. PC용 Grand Theft Auto 온라인은 습격과 대적 모드를 포함하여 Grand Theft Auto 온라인 서비스가 시작된 이후에 실시된 지금까지의 모든 게임 플레이 업그레이드와 Rockstar 제작 콘텐츠가 포함되어 있습니다.PC용 Grand Theft Auto V와 Grand Theft Auto 온라인에서는 1인칭 모드도 지원하므로, 플레이어는 로스 산토스와 블레인 카운티의 놀랍도록 세밀한 세상을 완전히 새로운 방식으로 둘러볼 수 있습니다.PC용 Grand Theft Auto V에서 처음으로 선보이는 Rockstar 편집기는 Grand Theft Auto V와 Grand Theft Auto 온라인에서 쉽고 간편하게 게임 영상을 녹화하고 편집, 공유할 수 있는 강력한 제작 도구입니다. Rockstar 편집기의 디렉터 모드에서는 플레이어가 주요 스토리 캐릭터나 시민, 심지어 동물까지 캐스팅해서 생명을 불어넣고 원하는 장면을 직접 연출할 수 있습니다. 패스트 모션과 슬로우 모션, 다양한 카메라 필터, GTAV 라디오 방송국에서 원하는 음악을 추가하거나 게임의 오리지널 스코어를 삽입하고 역동적으로 강약을 조절할 수 있는 등의 효과를 편집하고 세밀한 카메라 조정도 가능합니다. 완성된 동영상은 Rockstar 편집기에서 곧바로 YouTube와 Rockstar Games Social Club에 업로드해서 쉽게 공유할 수 있습니다.사운드트랙 아티스트인 The Alchemist와 Oh No가 돌아와서 새로운 라디오 방송국인 The Lab FM을 진행합니다. 이 방송국에서는 게임의 오리지널 사운드트랙에서 영감을 받아 둘이 함께 만든 새로운 독점 음악을 제공합니다. Earl Sweatshirt, Freddie Gibbs, Little Dragon, Killer Mike, Future Islands의 Sam Herring 및 그 외 많은 아티스트가 게스트로 참여합니다. 또한, 플레이어가 직접 만든 사운드트랙으로 진행되는 새로운 라디오 방송국인 셀프 라디오를 선택해서 자신만의 음악을 즐기며 로스 산토스와 블레인 카운티를 돌아다닐 수도 있습니다.특별 콘텐츠를 이용하려면 Rockstar Games Social Club 계정이 필요합니다. 자세한 내용을 보려면 를 방문하십시오.","액션,어드벤처","오픈월드,멀티플레이어,범죄,자동차시뮬레이션,3인칭,1인칭,슈팅,성인,싱글플레이어,3인칭슈팅,레이싱,협동,분위기있는,샌드박스,유머,웅장한사운드트랙,코미디,모드가능","운영체제: Windows 8.1 64비트
 Windows 8 64비트
 Windows 7 64비트 서비스 팩 1
 프로세서: 인텔 코어 2 쿼드 CPU Q6600 @ 2.40GHz (4 CPU) / AMD Phenom 9850 쿼드코어 프로세서(4 CPU) @ 2.5GHz
 메모리: 4 GB RAM
 그래픽: NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10
 10.1
 11)
 저장공간: 72 GB 사용 가능 공간
 사운드카드: DirectX 10 100% 호환
 추가 사항: 이후의 다운로드 가능 콘텐츠와 프로그래밍 변경 사항으로 이 게임의 시스템 요구 사양이 변경될 수 있습니다. 현재 호환 정보를 확인하려면 사용자의 하드웨어 제조업체와 참조하십시오. 모바일 칩셋
 통합
 AGP 그래픽 카드 같은 일부 시스템 구성 요소는 호환되지 않을 수 있습니다. 목록에 없는 사양은 발매사에 따라 지원되지 않을 수 있습니다. 기타 요구 사항","운영체제: Windows 8.1 64비트
 Windows 8 64비트
 Windows 7 64비트 서비스 팩 1
 프로세서: 인텔 코어 i5 3470 @ 3.2GHZ (4 CPU) / AMD X8 FX-8350 @ 4GHZ (8 CPU)
 메모리: 8 GB RAM
 그래픽: NVIDIA GTX 660 2GB / AMD HD7870 2GB
 저장공간: 72 GB 사용 가능 공간
 사운드카드: DirectX 10 100% 호환",https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/,"매우 긍정적 (평가 1,449,703 개)"
4,BattleBit Remastered,배틀비트 리마스터는 혼란스러운 대규모 멀티플레이어 온라인 1인칭 슈팅 게임 경험을 지향합니다.주요 특징파괴 가능한 환경 및 레볼루션.초당 높은 프레임의 게임플레이를 위해 철저하게 최적화되었습니다.강력한 e스포츠급 치트 방지 기능과 적극적인 중재 기능.아군 및 적과 실시간으로 소통할 수 있는 근접 기반 음성 채팅.FPS 게임을 위한 향상된 넷코드로 서버당 254명의 플레이어를 지원하며 높은 틱률 성능을 제공합니다.,"액션,대규모멀티플레이어","1인칭슈팅,슈팅,멀티플레이어,파괴,MMO,군사,PvP,전쟁,전술,1인칭,팀기반,전투,클래스기반,캐릭터커스터마이즈,앞서해보기,3D,총커스터마이즈,복셀,인디","운영체제: Windows 10 (x64) - Windows 11 (x64)
 프로세서: Intel Core i5-2310
 메모리: 6 GB RAM
 그래픽: Geforce GTS 450 or equivalent or better
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 2 GB 사용 가능 공간","운영체제: Windows 10 (x64) - Windows 11 (x64)
 프로세서: Intel Core i5 4th Generation and above
 메모리: 8 GB RAM
 그래픽: Geforce GTX 600 Series or equivalent or better
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 2 GB 사용 가능 공간",https://store.steampowered.com/app/671860/BattleBit_Remastered/,"매우 긍정적 (평가 54,241 개)"
5,Apex 레전드™,"무료 플레이* 히어로 슈팅 게임 Apex 레전드에서 나만의 캐릭터로 전장을 점령하세요. 강력한 능력을 지닌 레전드 캐릭터들이 힘을 합쳐 프런티어의 변경에서 영예와 부를 차지하기 위한 전투에 뛰어드세요.계속 추가되는 레전드, 깊이 있는 전술적 분대 플레이, 배틀 로얄 그 이상의 혁신을 경험하세요. 이 모든 것이 어떤 제약도 없는 거친 세계에서 펼쳐집니다. 새롭게 진화한 히어로 슈팅을 플레이하세요.주요 특징이 게임에는 무작위로 선정된 가상의 게임 내 아이템을 포함한 가상의 게임 내 아이템을 획득하는 데 사용할 수 있는 가상 화폐의 게임 내 구매 옵션이 포함되어 있습니다.","액션,어드벤처","무료플레이,멀티플레이어,배틀로얄,슈팅,1인칭슈팅,1인칭,PvP,팀기반,히어로슈팅,전술,공상과학,생존,캐릭터커스터마이즈,약탈,유머,협동,깊은세계관,사이버펑크,시네마틱","운영체제: 64-bit Windows 7
 프로세서: AMD FX 4350 or Equivalent
 Intel Core i3 6300 or Equivalent
 메모리: 6 GB RAM
 그래픽: AMD Radeon™ HD 7730
 NVIDIA GeForce® GT 640
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 56 GB 사용 가능 공간
 추가 사항: ~3.8GB for 1 localized language","운영체제: 64-bit Windows 7
 프로세서: Ryzen 5 CPU or Equivalent
 메모리: 8 GB RAM
 그래픽: AMD Radeon™ R9 290
 NVIDIA GeForce® GTX 970
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 56 GB 사용 가능 공간
 추가 사항: ~3.8GB for 1 localized language",https://store.steampowered.com/app/1172470/Apex/,"매우 긍정적 (평가 683,109 개)"
6,GrandChase,"그랜드체이스는 애니메이션 풍의 비쥬얼을 가진 횡스크롤 온라인 액션 RPG게임 입니다.개성 있고 귀여운 캐릭터들이 존재하며, 방향키와 Z키만으로 누구나 시원한 액션을 즐길 수 있습니다.판타지 세계관을 가진 다양한 던전과 온라인 실시간 대전 모드를 지원합니다.장비를 수집하고 스킬을 배워 나가며 던전과 대전에서 액션을 즐기는 게임입니다.주요 컨텐츠개성 있는 21명의 캐릭터전직을 통해 스킬을 확장하고, 스킬트리에서 자신만의 액션을 만들어 나갈 수 있습니다.친구와 파티를 맺고 광활한 대륙을 탐험 해 보세요.(솔로 플레이도 가능): 일반 던전 – 캐릭터와 세계관의 이야기를 즐기며 플레이 할 수 있습니다.: 영웅 던전 – 던전별 공략을 통해서 최고의 장비를 획득 할 수 있습니다.: 이벤트 던전 – 던전과 다른 플레이의 재미를 즐길 수 있습니다.자신만의 스타일로 구성된 스킬로 다양한 결투 모드에서 전략적 대전을 즐길 수 있습니다.2명에서 최대 6명까지 함께 플레이 할 수 있습니다.일반과 데스매치 모드에서 아이템 대전, 팀 대전, 개인 대전을 할 수 있습니다.다양한 무기, 코스튬 및 액세서리를 통해 나만의 캐릭터를 더욱 개성 있게 꾸밀 수 있습니다.","액션,캐주얼","PvE,PvP,액션RPG,무료플레이,온라인협동,핵앤슬래시,캐릭터커스터마이즈,2D격투,풍부한스토리,멀티플레이어,비뎀업,컨트롤러,애니메이션,2.5D,판타지,귀여운,3D격투,MMO","운영체제: WINDOWS® 10
 11
 프로세서: Intel Core i3
 메모리: 4 GB RAM
 DirectX: 버전 9.0
 네트워크: 초고속 인터넷 연결
 저장공간: 5 GB 사용 가능 공간","운영체제: WINDOWS® 10
 11
 프로세서: Intel Core i3
 메모리: 4 GB RAM
 DirectX: 버전 9.0
 네트워크: 초고속 인터넷 연결
 저장공간: 5 GB 사용 가능 공간",https://store.steampowered.com/app/985810/GrandChase/,"복합적 (평가 20,642 개)"
7,Sid Meier’s Civilization® VI,"전설적인 게임 디자이너 시드 마이어가 개발한 문명 시리즈는 오랜 역사를 버틸 수 있는 제국을 건설하는 턴제 전략게임입니다. 석기 시대부터 정보화 시대에 걸쳐 세계를 주름잡는 문명의 지배자가 되십시오. 전쟁을 일으키고, 외교관계를 조율하며, 문명을 꽃피우고 역사적인 지도자들과 겨루며 세계사에 길이 남을 위대한 문명을 건설하십시오.문명 6은 당신의 세계에 새로운 방식으로 접근할 수 있게 해줍니다. 도시들은 이제 지도상에서 물리적으로 확장하며, 기술 및 문화의 발달이 새로운 능력을 가져오고, 당신이 5가지 승리방식을 두고 싸우는 동안 다른 지도자들은 역사적인 기록에 근거하여 자신만의 목적을 갖고 경쟁에 임하게 됩니다.제국 건설당신의 제국이 이전과 다른 모습으로 지도에 펼쳐집니다. 개별 도시들은 여러 개의 타일에 걸쳐 건설되므로 지형지물을 이용하여 도시의 개성을 추구할 수 있습니다.적극적인 연구당신의 문명이 역사 속에서 더 빨리 발전할 수 있도록 부스트를 연구하십시오. 속도를 높이려면 유닛을 사용해서 적극적으로 탐험하고, 주변 환경을 개발하며, 새로운 문명을 발견하십시오.역동적인 외교다른 문명과의 상호작용이 시간에 따라 변화합니다. 최초의 원시적이고 호전적인 접촉은 후반에 연합과 협상으로 이어집니다.군대 조합""""한 타일당 한 유닛""""에서 나아가 이제 지원 유닛들을 다른 유닛에 붙일 수 있습니다. 예를 들어 대전차 지원 유닛을 보병에게, 혹은 개척민들에게 전사를 붙일 수 있습니다. 유사한 유닛들을 통합하여 강력한 """"군단"""" 유닛을 만들 수도 있습니다.강화된 멀티플레이어전통적인 멀티플레이 모드에 더하여, 당신의 친구들과 단일 세션에서 금방 끝낼 수 있도록 설계된 다양한 상황에서 협동 및 경쟁하십시오.모든 플레이어를 위한 문명문명 6은 베테랑 플레이어들에게 자신의 문명을 새로운 방식으로 강화하고 조정할 수 있게 해주며, 새로운 튜토리얼 시스템은 새로운 플레이어들에게 핵심 개념을 쉽게 익힐 수 있도록 해줍니다.",전략,"턴제전략,멀티플레이어,역사,싱글플레이어,대전략,턴제,4X,전쟁,시뮬레이션,도시건설,전술,건설,경영,웅장한사운드트랙,모드가능,온라인협동,협동,육각형그리드,분위기있는","운영체제: Windows 7x64 / Windows 8.1x64 / Windows 10x64
 프로세서: Intel Core i3 2.5 Ghz or AMD Phenom II 2.6 Ghz or greater
 메모리: 4 GB RAM
 그래픽: 1 GB & AMD 5570 or nVidia 450 or Intel Integrated Graphics 530
 DirectX: 버전 11
 저장공간: 17 GB 사용 가능 공간
 사운드카드: DirectX Compatible Sound Device","운영체제: Windows 7x64 / Windows 8.1x64 / Windows 10x64
 프로세서: Fourth Generation Intel Core i5 2.5 Ghz or AMD FX8350 4.0 Ghz or greater
 메모리: 8 GB RAM
 그래픽: 2GB & AMD 7970 or nVidia 770 or greater
 DirectX: 버전 11
 저장공간: 23 GB 사용 가능 공간
 사운드카드: DirectX Compatible Sound Device",https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/,"매우 긍정적 (평가 196,066 개)"
8,It Takes Two,"장르를 넘나드는 협동 전용 플랫폼 어드벤처 It Takes Two에서 생애 가장 정신없는 여정을 시작하세요. 친구가 무료로 참가할 수 있게 친구 패스*로 초대하고, 함께 힘을 합쳐서 수많은 유쾌하고 획기적인 게임 플레이 챌린지를 헤쳐나가세요. 마법에 걸려 인형으로 변해버린 서로 너무나도 다른 부부, 코디와 메이로 플레이하세요. 예측할 수 없는 것들이 구석구석 숨어 있는 환상적인 세계에 함께 갇힌 두 사람은, 내키지 않더라도 깨진 관계를 회복하고 힘을 합쳐야 합니다.새로운 레벨마다 독특하게 연결되는 캐릭터의 능력을 능숙하게 다뤄보세요. 예측할 수 없는 수많은 장애물을 함께 극복하며 웃음거리로 가득한 순간을 만끽해보세요. 못된 다람쥐의 꼬리를 걷어차거나, 속옷을 조종하고, 시끄러운 나이트클럽의 DJ가 되기도 하며, 썰매로 마법의 스노 글로브를 통과해 보세요. 독특하게 풀어낸 이야기와 게임 플레이가 어우러진 진실하고 유쾌한 이야기를 경험해보세요.It Takes Two는 빛나는 수상 경력을 자랑하는 협동 플레이의 선두주자, Hazelight 스튜디오에서 개발했습니다. 이들이 여러분을 거칠고 놀라운 세계로 초대하여 전하고픈 이야기는 단 한 가지입니다. 우린 함께할 때가 더 좋다는 거죠.주요 특징완벽한 협동 플레이 — 친구가 무료로 참가할 수 있게 Remote Play Together**로 초대하고, 둘만을 위해 마련된 짜릿한 모험을 경험해보세요. 로컬 협동이나 화면 분할 온라인 협동 중에서 선택하고, 힘을 합쳐야만 앞으로 나아갈 수 있는 변화무쌍한 도전을 헤쳐나가세요.유쾌하고 획기적인 게임 플레이 — 진공 청소기의 난동부터 자상한 사랑의 전문가에 이르기까지, 과연 여러분은 다음에 누구를 상대하게 될까요? 장르를 넘나드는 도전과 모든 레벨에서 익힐 수 있는 새로운 캐릭터 능력으로 채워진 이 게임에서는, 상호 작용 스토리텔링의 경계를 넘어서는 이야기 전개와 게임 플레이가 은유적으로 결합되는 경험을 선사합니다.누구나 공감하는 관계에 관한 이야기 — 함께하는 도전 속에서 감동과 진심이 담긴 이야기가 서서히 드러납니다. 코디와 메이가 서로의 차이점을 극복할 수 있게 도와주세요. 낯설지만 사랑스러운 다양한 캐릭터를 만나보세요. 힘을 합쳐 여러분이 함께 소중히 기억할 모험을 떠나세요!Hazelight 소개스웨덴 스톡홀름에 기반을 둔 Hazelight는 수상 경력을 자랑하는 인디 게임 개발 스튜디오입니다. 영화감독이자 수상 경력에 빛나는 게임인 Brothers: A Tale of Two Sons의 제작자 Josef Fares가 2014년에 설립했으며, Hazelight는 게임이 선사할 수 있는 창의적인 요소의 경계를 더욱 넓히기 위해 노력하고 있습니다. Hazelight는 2018년에 EA Originals 프로그램의 일환으로 제작하여 BAFTA 수상의 쾌거를 이룬 첫 번째 협동 전용 3인칭 액션 어드벤처 게임 A Way Out을 출시한 바 있습니다.EA Originals는 전 세계에서 가장 열정적이고 독립적이며 재능있는 게임 스튜디오가 빛을 발할 수 있도록 지원하고 있습니다. 매력적인 요소로 감동을 전하고자 하는 누구보다 창의적인 게임 제작자들이 선사하는 혁신적이고 잊을 수 없는 게임을 경험해보세요.","액션,어드벤처","협동,멀티플레이어,분할화면,로컬협동,퍼즐,온라인협동,풍부한스토리,로컬멀티플레이어,협동캠페인,퍼즐플랫폼,3D플랫폼,액션어드벤처,플랫폼,감정적인,분위기있는,탐험,여주인공,미니게임","운영체제: Windows 8.1 64-bit or Windows 10 64-bit
 프로세서: Intel Core i3-2100T or AMD FX 6100
 메모리: 8 GB RAM
 그래픽: Nvidia GeForce GTX 660 or AMD R7 260x
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 50 GB 사용 가능 공간","운영체제: Windows 8.1 64-bit or Windows 10 64-bit
 프로세서: Intel Core i5 3570K or AMD Ryzen 3 1300x
 메모리: 16 GB RAM
 그래픽: Nvidia GeForce GTX 980 or AMD R9 290X
 DirectX: 버전 11
 네트워크: 초고속 인터넷 연결
 저장공간: 50 GB 사용 가능 공간",https://store.steampowered.com/app/1426210/It_Takes_Two/,"압도적으로 긍정적 (평가 111,229 개)"
9,Limbus Company,"▶ 턴제 RPG와 실시간 전투의 결합매 턴마다 동시 다발적으로 이루어지는 화려한 난투.전투는 아군과 적이 차례를 기다리지 않고 동시에 진행됩니다.그 과정에서 아군과 적군의 스킬이 서로 부딪히는 경우가 있으며, 이를 합이라고 합니다.스킬의 강함과 운에 따라 합의 승패가 결정되며, 합에서 승리하면 상대의 스킬을 취소시킬 수 있습니다.적절한 스킬을 선택하여 합을 이기세요.▶ 손쉬운 조작 방식스킬 아이콘을 차례대로 연결하면 자동으로 전투가 진행되는 간단한 조작 방식.같은 색의 스킬 아이콘을 연결하면 적에게 더욱 강력한 피해를 줄 수 있습니다.화려하고 스타일리시하게 펼쳐지는 전투를 부디 편하게 감상하세요.인격과 E.G.O를 조합하여 최적의 시너지를 이끌어내며 펼치는 전략적인 전투.여러분이 마주하게 될 적들은 저마다의 속성과 스킬 효과를 보유하고 있습니다.이중에서도 환상체라는 존재는 강력하고 무시무시한 패턴이 존재하기 때문에, 쓰러뜨리는 데에 많은 어려움에 부딪힐 수 있습니다.부디 적들의 약점을 파악하고 이를 바탕으로 인격과 E.G.O를 조합하여 훌륭하게 승리하십시오.전작인 《Lobotomy Corporation》, 《Library of Ruina》 를 잇는 독특하고도 흥미로운 ProjectMoon의 세계관.여러분은 거대한 디스토피아 도시를 배경으로 12명의 수감자들과 함께 황금가지를 찾는 여정을 떠나게 됩니다.그 과정에서 펼쳐지는 다양한 사건과 매력적인 이야기를 음미하시길 바랍니다.모든 주요 스토리는 한국어 풀 보이스를 지원합니다.그럼 행운을 빕니다. 관리자님.","액션,RPG,전략","깊은세계관,풍부한스토리,턴제전술,전략RPG,턴제전투,애니메이션,싱글플레이어,비주얼노벨,PvE,턴제전략,2D,다크판타지,무료플레이,로그라이트,공상과학,다채로운,만화","운영체제: Windows 10
 프로세서: Intel Core i5
 메모리: 8 GB RAM
 그래픽: GeForce GT 1030
 DirectX: 버전 10
 저장공간: 10 GB 사용 가능 공간","운영체제: Windows 10
 프로세서: Intel Core i5
 메모리: 8 GB RAM
 그래픽: GeForce GT 1030
 DirectX: 버전 10
 저장공간: 10 GB 사용 가능 공간",https://store.steampowered.com/app/1973530/Limbus_Company/,"매우 긍정적 (평가 13,037 개)"
